Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Black Carts Delivered,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,LoadWeight,LoadCapacity,Note
5/10/2017,Completed,5/10/2017,17-02934823,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,10920 S LOWE AVE,60628,1173917.726,1832460.161,34,22,49,,41.69538249,-87.63898403,"(41.695382488534065, -87.63898403233642)",17,50,FALSE
5/10/2017,Completed - Dup,10/17/2017,17-02933701,Garbage Cart Black Maintenance/Replacement,,,,10800 S HALE AVE,60643,1165700.943,1833009.545,19,22,75,,41.69729402,-87.66905911,"(41.69729401951328, -87.66905910892442)",35,50,FALSE
5/10/2017,Completed,5/10/2017,17-02934788,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,10743 S LOWE AVE,60628,1173881.115,1833632.052,34,22,49,,41.69840688,-87.63878333,"(41.69840688063509, -87.6387833300638)",1,50,TRUE
5/10/2017,Completed - Dup,5/19/2017,17-02924306,Garbage Cart Black Maintenance/Replacement,,,,10656 S OAKLEY AVE,60643,1162945.55,1833907.179,19,22,72,,41.69922216,-87.67910643,"(41.69922216407196, -87.679106434432)",55,50,TRUE
5/10/2017,Completed,10/31/2017,17-02934653,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,10549 S ST LOUIS AVE,60655,1154877.039,1834346.469,19,22,74,,41.70099299,-87.70834335,"(41.700992990413035, -87.70834334997399)",47,50,FALSE
5/10/2017,Completed,8/24/2017,17-02943220,Garbage Cart Black Maintenance/Replacement,2,Dispatch Crew,Cart Approved - Delivered,10600 S PEORIA ST,60643,1172194.354,1834544.104,34,22,73,,41.70133785,-87.64523879,"(41.7013378498805, -87.64523878566344)",20,50,TRUE
5/10/2017,Completed,8/23/2017,17-02938483,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,3117 W 103RD ST,60655,1157331.437,1836171.42,19,22,74,,41.70609412,-87.69970709,"(41.70609411741233, -87.69970708944979)",54,50,FALSE
5/10/2017,Completed,8/23/2017,17-02931995,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,3043 W 103RD ST,60655,1157634.435,1836182.993,19,22,74,,41.70612669,-87.69837004,"(41.70612668811356, -87.6983700448636)",43,50,FALSE
5/10/2017,Completed - Dup,7/17/2017,17-02950334,Garbage Cart Black Maintenance/Replacement,,,,10208 S YALE AVE,60628,1176416.3,1837253.157,9,5,49,,41.70859861,-87.62969656,"(41.708598608063966, -87.62969655791825)",56,50,TRUE
5/10/2017,Open,,17-02927211,Garbage Cart Black Maintenance/Replacement,,,,9952 S ABERDEEN ST,60643,1170739.43,1838746.983,34,22,73,,41.7124773,-87.65042212,"(41.712477300403805, -87.6504221205091)",20,50,TRUE
5/10/2017,Completed,6/12/2017,17-02942872,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,200 E 98TH ST,60628,1179307.855,1840037.002,9,5,49,,41.71645592,-87.6188215,"(41.71645591603423, -87.6188215024711)",44,50,FALSE
5/10/2017,Completed - Dup,5/15/2017,17-02941234,Garbage Cart Black Maintenance/Replacement,,,,430 W 97TH PL,60628,1175054.108,1840253.82,21,22,73,,41.71713594,-87.63511094,"(41.71713593568655, -87.63511093735237)",65,50,FALSE
5/10/2017,Open,,17-02940939,Garbage Cart Black Maintenance/Replacement,,,,9818 S AVENUE G,60617,1203122.954,1840654.64,10,4,52,,41.71721465,-87.53180461,"(41.71721465275713, -87.5318046078321)",65,50,TRUE
5/10/2017,Completed - Dup,8/16/2017,17-02939841,Garbage Cart Black Maintenance/Replacement,,,,9545 S EMERALD AVE,60628,1172989.332,1841554.349,21,22,73,,41.7201471,-87.64181722,"(41.72014709525776, -87.64181722387121)",51,50,FALSE
5/10/2017,Completed - Dup,6/29/2017,17-02933470,Garbage Cart Black Maintenance/Replacement,,,,9201 S CREGIER AVE,60617,1189787.815,1844317.088,8,4,48,,41.72783072,-87.58021485,"(41.7278307245938, -87.58021485150289)",36,50,TRUE
5/10/2017,Completed,10/18/2017,17-02927802,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,9204 S COLFAX AVE,60617,1195107.387,1844440.29,7,4,48,,41.72792025,-87.56101263,"(41.72792024963405, -87.56101263198777)",1,50,FALSE
5/10/2017,Completed,6/1/2017,17-02935529,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected no such address as specified,9035 S LANGLEY AVE,60619,1182484.245,1845108.014,8,6,44,51,41.73011664,-87.60694294,"(41.73011663852988, -87.60694294434614)",23,50,FALSE
5/10/2017,Completed - Dup,5/18/2017,17-02931428,Garbage Cart Black Maintenance/Replacement,,,,9014 S HARPER AVE,60619,1188021.399,1845512.855,8,4,48,50,41.73093489,-87.5869378,"(41.73093489093908, -87.5869378018462)",53,50,FALSE
5/10/2017,Completed - Dup,8/7/2017,17-02927355,Garbage Cart Black Maintenance/Replacement,,,,8908 S UNION AVE,60620,1173199.303,1845845.995,21,22,71,,41.73224838,-87.64122391,"(41.732248383396026, -87.64122391435772)",26,50,TRUE
5/10/2017,Completed - Dup,8/3/2017,17-02952720,Garbage Cart Black Maintenance/Replacement,,,,8635 S BENNETT AVE,60617,1190353.322,1848094.596,8,4,45,50,41.73779158,-87.57801565,"(41.737791584283926, -87.57801564680105)",51,50,FALSE
5/10/2017,Completed - Dup,5/11/2017,17-02943700,Garbage Cart Black Maintenance/Replacement,,,,8636 S EXCHANGE AVE,60617,1197309.801,1848275.192,10,4,46,,41.73807502,-87.5528147,"(41.7380750192379, -87.55281470276981)",53,50,TRUE
5/10/2017,Completed,8/24/2017,17-02926511,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,3456 W 85TH ST,60652,1154824.81,1848012.494,18,8,70,,41.73885082,-87.70912981,"(41.73885082236547, -87.70912980718496)",60,50,TRUE
5/10/2017,Completed,10/25/2017,17-02923481,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,8300 S KARLOV AVE,60652,1150511.67,1849213.575,18,8,70,,41.74203928,-87.72425274,"(41.742039280912195, -87.72425273750208)",38,50,TRUE
5/10/2017,Open,,17-02926767,Garbage Cart Black Maintenance/Replacement,,,,3750 W 83RD ST,60652,1153169.107,1849292.358,18,8,70,,41.74237743,-87.71638862,"(41.74237742564503, -87.71638861905359)",55,50,TRUE
5/10/2017,Completed,10/25/2017,17-02930918,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Cart Approved - Delivered,4277 W 82ND PL,60652,1149190.42,1849442.559,18,8,70,,41.74267103,-87.72941131,"(41.74267103453064, -87.72941130790613)",0,50,FALSE
5/10/2017,Completed,8/23/2017,17-02946804,Garbage Cart Black Maintenance/Replacement,2,Dispatch Crew,Cart Approved - Delivered,2534 W 83RD ST,60652,1160780.01,1849514.025,18,8,70,,41.74286271,-87.68652313,"(41.74286271234435, -87.68652313223654)",44,50,FALSE
5/10/2017,Completed,10/25/2017,17-02932926,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- no carts delivered - gate locked ,4030 W 82ND PL,60652,1150791.8,1849529,18,8,70,,41.74299886,-87.72320346,"(41.74299885871293, -87.72320345939089)",32,50,FALSE
5/10/2017,Open,,17-02931112,Garbage Cart Black Maintenance/Replacement,,,,4706 W 82ND ST,60652,1146542.459,1849672.09,18,8,70,,41.74356291,-87.73875768,"(41.74356291264257, -87.73875768027779)",42,50,TRUE
5/10/2017,Completed,9/5/2017,17-02939289,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,8159 S SCOTTSDALE AVE,60652,1147186.267,1850141.538,18,8,70,,41.74481349,-87.73615289,"(41.74481348634018, -87.73615289267035)",38,50,FALSE
5/10/2017,Completed,6/12/2017,17-02936316,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,8115 S KEDZIE AVE,60652,1156458.209,1850619.357,18,8,70,,41.74566571,-87.70213241,"(41.74566571159516, -87.7021324061502)",7,50,TRUE
5/10/2017,Completed - Dup,8/16/2017,17-02924385,Garbage Cart Black Maintenance/Replacement,,,,8148 S LAFAYETTE AVE,60620,1177354.737,1850972.5,21,6,44,,41.74583163,-87.62583111,"(41.74583162869201, -87.62583111464235)",2,50,TRUE
5/10/2017,Completed,8/24/2017,17-02940568,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,8157 S HARPER AVE,60619,1187893.056,1851200.071,8,4,45,50,41.74615422,-87.58692237,"(41.74615422333868, -87.58692236663235)",49,50,TRUE
5/10/2017,Completed - Dup,8/24/2017,17-02927555,Garbage Cart Black Maintenance/Replacement,,,,8150 S EAST END AVE,60617,1189016.08,1851212.993,8,4,45,,41.74628764,-87.58310444,"(41.74628764478771, -87.58310444385057)",4,50,TRUE
5/10/2017,Completed,10/30/2017,17-02942650,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,8105 S HONORE ST,60620,1165428.192,1850930.437,17,6,71,,41.74643346,-87.6692592,"(41.746433455841306, -87.66925919962596)",0,50,FALSE
5/10/2017,Completed,8/24/2017,17-02940212,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,8039 S MOZART ST,60652,1158775.359,1851190.202,18,8,70,,41.74694817,-87.6936205,"(41.74694817175054, -87.69362050308277)",31,50,TRUE
5/10/2017,Completed,8/23/2017,17-02931959,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,2251 W 80TH PL,60620,1162687.892,1851232.68,18,8,70,,41.74731121,-87.6800965,"(41.74731121114747, -87.68009649833385)",5,50,FALSE
5/10/2017,Completed,10/25/2017,17-02951965,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,7955 S KILDARE AVE,60652,1149248.53,1851351.833,18,8,70,,41.74774837,-87.72852737,"(41.74774837135156, -87.72852736858614)",49,50,FALSE
5/10/2017,Completed - Dup,8/16/2017,17-02930265,Garbage Cart Black Maintenance/Replacement,,,,8021 S HARVARD AVE,60620,1175348.361,1851756.994,17,6,44,,41.74832933,-87.6328794,"(41.748329330025676, -87.63287939749294)",16,50,TRUE
5/10/2017,Completed - Dup,5/19/2017,17-02939899,Garbage Cart Black Maintenance/Replacement,,,,7910 S RICHMOND ST,60652,1158087.027,1851993.737,18,8,70,,41.74942398,-87.69642137,"(41.74942397827004, -87.69642137028521)",35,50,FALSE
5/10/2017,Completed,10/25/2017,17-02929792,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- no carts delivered - Private Dumpster,2535 W 79TH ST,60652,1160740.487,1852148.716,18,8,70,,41.74987317,-87.68664969,"(41.749873170744266, -87.68664969486186)",54,50,TRUE
5/10/2017,Completed,6/1/2017,17-02939492,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,7937 S CALUMET AVE,60619,1179849.077,1852454.418,6,6,44,51,41.74998099,-87.61636145,"(41.74998099419759, -87.61636145143605)",49,50,TRUE
5/10/2017,Open,,17-02931185,Garbage Cart Black Maintenance/Replacement,,,,7748 S KILPATRICK AVE,60652,1146417.81,1852770.99,18,8,70,,41.75140225,-87.73914899,"(41.751402253216085, -87.73914898501039)",64,50,FALSE
5/10/2017,Completed,8/24/2017,17-02926845,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Cart repaired on site.,3744 W 77TH ST,60652,1152683.304,1853146.614,18,8,70,,41.75299609,-87.71600647,"(41.752996086621955, -87.71600646835748)",3,50,TRUE
5/10/2017,Completed,10/12/2017,17-02947024,Garbage Cart Black Maintenance/Replacement,2,Dispatch Crew,Cart Approved - Delivered,7644 S EUCLID AVE,60649,1190530.03,1854670.224,8,4,43,,41.75571137,-87.57744416,"(41.75571137379589, -87.57744415617974)",8,50,FALSE
5/10/2017,Completed - Dup,6/1/2017,17-02930060,Garbage Cart Black Maintenance/Replacement,,,,7610 S PRAIRIE AVE,60619,1179353.242,1854613.242,6,6,69,,41.75615151,-87.61841437,"(41.756151508281214, -87.61841436536594)",3,50,FALSE
5/10/2017,Completed - Dup,6/1/2017,17-02929974,Garbage Cart Black Maintenance/Replacement,,,,7608 S PRAIRIE AVE,60619,1179352.942,1854626.642,6,6,69,,41.75620804,-87.61841571,"(41.756208035709854, -87.61841571303195)",32,50,FALSE
5/10/2017,Completed,10/25/2017,17-02935005,Garbage Cart Black Maintenance/Replacement,2,Dispatch Crew,Cart Approved - Delivered,7344 S SACRAMENTO AVE,60629,1157645.181,1855782.323,18,8,66,14,41.75950171,-87.69792704,"(41.759501714706666, -87.69792703909224)",28,50,FALSE
5/10/2017,Completed,10/25/2017,17-02927218,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,7315 S ALBANY AVE,60629,1156972.414,1855953.452,18,8,66,14,41.76029767,-87.70010271,"(41.7602976707667, -87.70010271042143)",17,50,TRUE
5/10/2017,Completed,10/25/2017,17-02926422,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,7310 S FRANCISCO AVE,60629,1158305.949,1856025.125,18,8,66,14,41.76048281,-87.6955092,"(41.760482814134576, -87.6955091974729)",30,50,TRUE
5/10/2017,Completed,9/14/2017,17-02927216,Garbage Cart Black Maintenance/Replacement,2,Dispatch Crew,Cart Approved - Delivered,7334 S EUCLID AVE,60649,1190311.48,1856720.684,7,3,43,,41.76144156,-87.57818167,"(41.76144155875146, -87.5781816683792)",47,50,FALSE
5/10/2017,Completed,10/25/2017,17-02935942,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,7231 S WASHTENAW AVE,60629,1159624.901,1856585.894,18,8,66,14,41.7618169,-87.69036106,"(41.761816901677264, -87.69036106473493)",20,50,TRUE
5/10/2017,Completed,10/30/2017,17-02938273,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- no carts delivered - gate locked ,7219 S DAMEN AVE,60636,1164273.335,1856784.381,17,7,67,,41.76238446,-87.67332279,"(41.762384457340296, -87.67332278919856)",47,50,TRUE
5/10/2017,Completed,10/25/2017,17-02924207,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- no carts delivered - gate locked ,7148 S WASHTENAW AVE,60629,1159609.345,1857135.928,18,8,66,14,41.76312602,-87.69068882,"(41.76312602361488, -87.69068881938907)",3,50,TRUE
5/10/2017,Completed,10/27/2017,17-02933195,Garbage Cart Black Maintenance/Replacement,2,Dispatch Crew,Cart Approved - Delivered,7142 S MICHIGAN AVE,60619,1178399.227,1857689.482,6,3,69,,41.7642996,-87.62180934,"(41.764299596922235, -87.6218093422016)",54,50,FALSE
5/10/2017,Completed,10/25/2017,17-02925765,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,3005 W 71ST ST,60629,1157545.54,1857397.728,18,8,66,14,41.76434383,-87.69816019,"(41.764343828649494, -87.69816018689352)",36,50,FALSE
5/10/2017,Completed,10/25/2017,17-02943216,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,2919 W 71ST ST,60629,1158061.72,1857412.784,18,8,66,14,41.76437181,-87.69635889,"(41.76437181134746, -87.696358889239)",2,50,TRUE
5/10/2017,Completed,10/4/2017,17-02943107,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,2915 W 71ST ST,60629,1158104.87,1857414.053,18,8,66,14,41.76437509,-87.69617432,"(41.764375085169235, -87.69617432181741)",14,50,FALSE
5/10/2017,Completed,6/1/2017,17-02940634,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,7126 S VERNON AVE,60619,1180479.568,1857869.32,6,3,69,,41.76490162,-87.61418502,"(41.764901623310216, -87.61418502177531)",46,50,TRUE
5/10/2017,Completed,10/30/2017,17-02944312,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,6841 S CAMPBELL AVE,60629,1160888.732,1859212.029,17,8,66,14,41.76885883,-87.68565574,"(41.768858832511846, -87.68565573814249)",1,50,FALSE
5/10/2017,Completed,10/30/2017,17-02925938,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,6841 S JUSTINE ST,60636,1167183.735,1859358.944,16,7,67,,41.76917009,-87.66257615,"(41.76917008551977, -87.66257614636724)",0,50,FALSE
5/10/2017,Completed,10/24/2017,17-02931193,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,6806 S KEELER AVE,60629,1149543.172,1859135.791,13,8,65,,41.7692284,-87.727546,"(41.769228401483474, -87.72754599569129)",2,50,TRUE
5/10/2017,Open,,17-02949975,Garbage Cart Black Maintenance/Replacement,,,,6823 S MARSHFIELD AVE,60636,1166518.59,1859462.194,17,7,67,,41.76964518,-87.66501552,"(41.76964517839651, -87.66501552240189)",42,50,FALSE
5/10/2017,Completed,6/12/2017,17-02935929,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,6740 S PAXTON AVE,60649,1192036.14,1860706.655,5,3,43,,41.77227778,-87.57172231,"(41.77227778359663, -87.57172231333521)",38,50,TRUE
5/10/2017,Completed,10/17/2017,17-02935862,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,6740 S PAXTON AVE,60649,1192036.14,1860706.655,5,3,43,,41.77227778,-87.57172231,"(41.77227778359663, -87.57172231333521)",18,50,FALSE
5/10/2017,Completed,11/6/2017,17-02942991,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,6540 S CARPENTER ST,60621,1170438.067,1861444.548,6,7,68,,41.77480101,-87.65087911,"(41.77480100628121, -87.65087910686275)",16,50,TRUE
5/10/2017,Completed,10/17/2017,17-02933744,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,843 E MARQUETTE RD,60637,1183083.34,1861434.733,5,3,42,,41.77486929,-87.60410615,"(41.77486929063722, -87.60410614530963)",49,50,FALSE
5/10/2017,Completed - Dup,5/18/2017,17-02927414,Garbage Cart Black Maintenance/Replacement,,,,6442 S MOZART ST,60629,1158487.429,1861795.214,17,8,66,,41.7759939,-87.69468022,"(41.775993901526064, -87.69468021780358)",54,50,TRUE
5/10/2017,Completed,10/19/2017,17-02924726,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected no such address as specified,6435 S NORMAL BLVD,60621,1174061.495,1862239.701,20,7,68,,41.77697106,-87.6373068,"(41.77697106239625, -87.63730679760182)",44,50,FALSE
5/10/2017,Completed,10/24/2017,17-02942475,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,6328 S KILDARE AVE,60629,1148795.605,1862219.864,13,8,65,3,41.77761396,-87.73020455,"(41.777613957253955, -87.73020455027788)",41,50,FALSE
5/10/2017,Completed,9/27/2017,17-02933008,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- no carts delivered - vacant building,1904 W 61ST ST,60636,1164691.023,1864214.309,15,7,67,,41.78312032,-87.67182282,"(41.78312031644806, -87.67182282213516)",4,50,TRUE
5/10/2017,Completed,8/1/2017,17-02935935,Garbage Cart Black Maintenance/Replacement,2,Dispatch Crew,Cart Approved - Delivered,5541 S WINCHESTER AVE,60636,1164303.4,1867837.352,15,7,67,,41.79230527,-87.67289047,"(41.792305268591875, -87.67289047164245)",41,50,FALSE
5/10/2017,Completed,10/30/2017,17-02922953,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,5421 S DAMEN AVE,60609,1163947.023,1868645.476,16,9,61,,41.79510255,-87.67418874,"(41.795102552228144, -87.67418874343828)",3,50,FALSE
5/10/2017,Completed,10/27/2017,17-02932821,Garbage Cart Black Maintenance/Replacement,2,Dispatch Crew,Cart Approved - Delivered,5411 S FAIRFIELD AVE,60632,1158960.079,1868661.665,14,9,63,,41.79516587,-87.69247337,"(41.79516586569245, -87.69247336511872)",7,50,FALSE
5/10/2017,Completed,10/27/2017,17-02943072,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,3037 W 53RD PL,60632,1157037.006,1869007.71,14,9,63,,41.79620384,-87.70023721,"(41.796203842135235, -87.70023721403717)",25,50,TRUE
5/10/2017,Completed,10/27/2017,17-02930990,Garbage Cart Black Maintenance/Replacement,2,Dispatch Crew,Cart Approved - Delivered,5309 S SPAULDING AVE,60632,1155280.828,1869229.486,14,8,63,,41.79681792,-87.70594856,"(41.7968179248564, -87.70594856286998)",64,50,TRUE
5/10/2017,Completed,10/27/2017,17-02930819,Garbage Cart Black Maintenance/Replacement,2,Dispatch Crew,Cart Approved - Delivered,5306 S SAWYER AVE,60632,1155613.179,1869257.691,14,8,63,,41.79688524,-87.7050242,"(41.79688524391872, -87.70502419661982)",30,50,FALSE
5/10/2017,Completed,10/27/2017,17-02930723,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,5305 S SPAULDING AVE,60632,1155280.028,1869256.486,14,8,63,,41.7969314,-87.70595166,"(41.79693140158356, -87.70595166106374)",14,50,FALSE
5/10/2017,Completed,10/27/2017,17-02930586,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,5304 S SAWYER AVE,60632,1155612.779,1869271.191,14,8,63,,41.79694197,-87.7050259,"(41.796941971020004, -87.70502589980059)",60,50,TRUE
5/10/2017,Completed,10/27/2017,17-02931175,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,5246 S TRUMBULL AVE,60632,1154265.661,1869619.81,14,8,63,,41.79750882,-87.70994349,"(41.79750881891923, -87.70994349229052)",63,50,TRUE
5/10/2017,Completed,10/27/2017,17-02931181,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,5238 S TRUMBULL AVE,60632,1154264.061,1869673.71,14,8,63,,41.79773594,-87.70995026,"(41.797735937471735, -87.7099502626593)",61,50,TRUE
5/10/2017,Completed,10/27/2017,17-02931119,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,5226 S TRUMBULL AVE,60632,1154261.761,1869754.61,14,8,63,,41.79807695,-87.70996088,"(41.79807695489324, -87.7099608848018)",3,50,FALSE
5/10/2017,Open,,17-02935564,Garbage Cart Black Maintenance/Replacement,,,,5111 S LOTUS AVE,60638,1140892.277,1870196.665,14,8,56,,41.79973073,-87.75869192,"(41.79973073120076, -87.75869192418784)",6,50,FALSE
5/10/2017,Completed,9/27/2017,17-02928350,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected no such address as specified,5149 S OAKLEY AVE,60609,1161903.77,1870565.677,15,9,63,,41.80026186,-87.68163165,"(41.80026185579516, -87.68163164680719)",43,50,TRUE
5/10/2017,Open,,17-02937388,Garbage Cart Black Maintenance/Replacement,,,,5058 S LAMON AVE,60638,1144547.087,1870640.066,22,8,56,,41.80038236,-87.74555596,"(41.80038235544338, -87.74555596165047)",53,50,TRUE
5/10/2017,Completed,10/18/2017,17-02931469,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,5027 S SHIELDS AVE,60609,1174815.819,1871620.36,3,9,37,,41.80278917,-87.63424205,"(41.80278916799407, -87.63424204689227)",23,50,FALSE
5/10/2017,Completed,6/12/2017,17-02935926,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,440 E 49TH ST,60615,1180126.12,1872630.586,3,2,38,,41.80588239,-87.61459,"(41.80588239185598, -87.61458999672577)",43,50,FALSE
5/10/2017,Open,,17-02932972,Garbage Cart Black Maintenance/Replacement,,,,4623 S LA CROSSE AVE,60638,1144802.954,1873541.869,22,8,56,,41.8087169,-87.74426421,"(41.80871690158146, -87.7442642069895)",28,50,TRUE
5/10/2017,Completed,9/27/2017,17-02929973,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,4606 S PAULINA ST,60609,1165782.565,1874163.661,15,9,61,10,41.81013838,-87.66759285,"(41.810138382757216, -87.66759284973524)",25,50,FALSE
